name,word,count,positive,negative,review_ids
fireplac,fireplac,3,100,0,"['Zqp0_BdCvCNChWShb0ztFA', '38NJNnXPRblxZMCCttALKQ', '4artGUDQo3TpHywxefQy5A']"
staff,staff,4,100,0,"['_rRcBjqGWlS9iCNpsC72qQ', '38NJNnXPRblxZMCCttALKQ', 'l9RRz_a8vVLyb6eBG4Zfrg', 'roqrXWz2AkO7zD7cAJzJ8A']"
latt,latt,3,100,0,"['_rRcBjqGWlS9iCNpsC72qQ', 'Noj_gbMvlAxnUnXnYgTPeg', 'u_4StEqNgi1F5Va36gPe1A']"
locat,locat,2,50,50,"['WAWGSaa2TXWbiS37V965kQ', '4artGUDQo3TpHywxefQy5A']"
busi,busi,2,100,0,"['adECeHUgc1kKpYMYmDgCNA', '4artGUDQo3TpHywxefQy5A']"
front,front,2,100,0,"['_rRcBjqGWlS9iCNpsC72qQ', '38NJNnXPRblxZMCCttALKQ']"
tri,tri,3,100,0,"['_rRcBjqGWlS9iCNpsC72qQ', '38NJNnXPRblxZMCCttALKQ', 'GpO_NpiRKLz0WdrJZsxy0g']"
work,work,6,66,33,"['_rRcBjqGWlS9iCNpsC72qQ', 'JqauWBDAKVEuHaYm9bEnSA', 'es7GnRtZRuV78geY7ziF-g', 'WAWGSaa2TXWbiS37V965kQ', 'u_4StEqNgi1F5Va36gPe1A', 'GpO_NpiRKLz0WdrJZsxy0g']"
back,back,2,100,0,"['_rRcBjqGWlS9iCNpsC72qQ', 'Yskk1fgYgTeCQyz-Z7h0OA']"
indiffer,indiffer,2,100,0,"['adECeHUgc1kKpYMYmDgCNA', 'l9RRz_a8vVLyb6eBG4Zfrg']"
wait,wait,2,50,50,"['_rRcBjqGWlS9iCNpsC72qQ', 'es7GnRtZRuV78geY7ziF-g']"
place,place,4,100,0,"['Yskk1fgYgTeCQyz-Z7h0OA', 'spmdYML9ABT8K62q7gDDpQ', 'u_4StEqNgi1F5Va36gPe1A', 'roqrXWz2AkO7zD7cAJzJ8A']"
stand,stand,2,100,0,"['_rRcBjqGWlS9iCNpsC72qQ', 'adECeHUgc1kKpYMYmDgCNA']"
pick,pick,2,100,0,"['4artGUDQo3TpHywxefQy5A', 'u_4StEqNgi1F5Va36gPe1A']"
love,love,4,100,0,"['Noj_gbMvlAxnUnXnYgTPeg', 'adECeHUgc1kKpYMYmDgCNA', 'l9RRz_a8vVLyb6eBG4Zfrg', 'roqrXWz2AkO7zD7cAJzJ8A']"
middleton,middleton,3,66,33,"['_rRcBjqGWlS9iCNpsC72qQ', 'spmdYML9ABT8K62q7gDDpQ', 'es7GnRtZRuV78geY7ziF-g']"
agre,agre,2,100,0,"['u_4StEqNgi1F5Va36gPe1A', 'roqrXWz2AkO7zD7cAJzJ8A']"
coffe shop,coffe shop,2,100,0,"['_rRcBjqGWlS9iCNpsC72qQ', 'Yskk1fgYgTeCQyz-Z7h0OA']"
interest,interest,2,100,0,"['_rRcBjqGWlS9iCNpsC72qQ', 'adECeHUgc1kKpYMYmDgCNA']"
