name,word,count,positive,negative,review_ids
atmosphere,atmosphere,4,100,0,"['4O93Ljg7jCvobaxe70Cxmg', 'Zqp0_BdCvCNChWShb0ztFA', '38NJNnXPRblxZMCCttALKQ', 'roqrXWz2AkO7zD7cAJzJ8A']"
staff,staff,4,100,0,"['_rRcBjqGWlS9iCNpsC72qQ', '38NJNnXPRblxZMCCttALKQ', 'l9RRz_a8vVLyb6eBG4Zfrg', 'roqrXWz2AkO7zD7cAJzJ8A']"
coffee,coffee,4,75,25,"['Yskk1fgYgTeCQyz-Z7h0OA', 'Zqp0_BdCvCNChWShb0ztFA', 'WAWGSaa2TXWbiS37V965kQ', 'u_4StEqNgi1F5Va36gPe1A']"
good,good,3,100,0,"['Zqp0_BdCvCNChWShb0ztFA', 'rMDj0NaAc9bgy8FyjHrZMQ', 'roqrXWz2AkO7zD7cAJzJ8A']"
lots,lots,2,100,0,"['4artGUDQo3TpHywxefQy5A', 'JqauWBDAKVEuHaYm9bEnSA']"
front,front,3,100,0,"['_rRcBjqGWlS9iCNpsC72qQ', '38NJNnXPRblxZMCCttALKQ', '4artGUDQo3TpHywxefQy5A']"
fireplace,fireplace,3,100,0,"['Zqp0_BdCvCNChWShb0ztFA', '38NJNnXPRblxZMCCttALKQ', '4artGUDQo3TpHywxefQy5A']"
serves,serves,2,100,0,"['l9RRz_a8vVLyb6eBG4Zfrg', 'rMDj0NaAc9bgy8FyjHrZMQ']"
middleton,middleton,3,66,33,"['_rRcBjqGWlS9iCNpsC72qQ', 'spmdYML9ABT8K62q7gDDpQ', 'es7GnRtZRuV78geY7ziF-g']"
work,work,6,66,33,"['_rRcBjqGWlS9iCNpsC72qQ', 'JqauWBDAKVEuHaYm9bEnSA', 'es7GnRtZRuV78geY7ziF-g', 'WAWGSaa2TXWbiS37V965kQ', 'u_4StEqNgi1F5Va36gPe1A', 'GpO_NpiRKLz0WdrJZsxy0g']"
people,people,2,50,50,"['_rRcBjqGWlS9iCNpsC72qQ', 'WAWGSaa2TXWbiS37V965kQ']"
back,back,2,100,0,"['_rRcBjqGWlS9iCNpsC72qQ', '4artGUDQo3TpHywxefQy5A']"
girl,girl,2,50,50,"['_rRcBjqGWlS9iCNpsC72qQ', 'WAWGSaa2TXWbiS37V965kQ']"
