name,word,count,positive,negative,review_ids
tri,tri,4,75,25,"['4oAvRXGJb2T2Gs5mAYL4ow', 'lfbbDNTCkz7vB8s7TaZsmg', 'jqCbCugPzL1QzunNzZoEgg', 'xUotouup6cW3TSdcYEkh5A']"
told,told,2,0,100,"['yG2wB9ZY9s1E7Kx8CpWHKA', 'xUotouup6cW3TSdcYEkh5A']"
great,great,2,100,0,"['JWs1kUaZEnh3UE6FftqJAg', 'TIEo_UTBB_olBnXvqvmxxQ']"
restaur,restaur,2,100,0,"['JWs1kUaZEnh3UE6FftqJAg', 'jqCbCugPzL1QzunNzZoEgg']"
live,live,2,100,0,"['JWs1kUaZEnh3UE6FftqJAg', 'jqCbCugPzL1QzunNzZoEgg']"
give,give,2,50,50,"['4oAvRXGJb2T2Gs5mAYL4ow', 'xUotouup6cW3TSdcYEkh5A']"
alway,alway,3,100,0,"['JWs1kUaZEnh3UE6FftqJAg', '4oAvRXGJb2T2Gs5mAYL4ow', 'TIEo_UTBB_olBnXvqvmxxQ']"
attent,attent,2,0,100,"['B6Cyf42B6LKE5kf9O8qaeA', 'xUotouup6cW3TSdcYEkh5A']"
order,order,3,33,66,"['B6Cyf42B6LKE5kf9O8qaeA', 'OkYP-v9atGkwyHOepgq3Pw', 'xUotouup6cW3TSdcYEkh5A']"
sir hobo,sir hobo,3,66,33,"['JWs1kUaZEnh3UE6FftqJAg', 'jqCbCugPzL1QzunNzZoEgg', 'xUotouup6cW3TSdcYEkh5A']"
good,good,4,75,25,"['LcwjMhbcmA5QEK_xKIb4dg', 'w7-Rt5xLm8PEFc5P_C_H-g', 'OkYP-v9atGkwyHOepgq3Pw', 'xUotouup6cW3TSdcYEkh5A']"
food,food,6,83,16,"['roWA_MYfg4l6WX_3ilRDhg', 'OkYP-v9atGkwyHOepgq3Pw', '4oAvRXGJb2T2Gs5mAYL4ow', 'TIEo_UTBB_olBnXvqvmxxQ', 'jqCbCugPzL1QzunNzZoEgg', 'xUotouup6cW3TSdcYEkh5A']"
day,day,2,50,50,"['B6Cyf42B6LKE5kf9O8qaeA', 'Om3kTNUz57UQDSevN9S4OQ']"
anyth,anyth,2,100,0,"['4oAvRXGJb2T2Gs5mAYL4ow', 'lfbbDNTCkz7vB8s7TaZsmg']"
meal,meal,3,66,33,"['JWs1kUaZEnh3UE6FftqJAg', 'Om3kTNUz57UQDSevN9S4OQ', 'xUotouup6cW3TSdcYEkh5A']"
guess,guess,2,50,50,"['OkYP-v9atGkwyHOepgq3Pw', 'xUotouup6cW3TSdcYEkh5A']"
place,place,9,66,33,"['t-Nwp9BfxmVl3c-k87qIVw', 'B6Cyf42B6LKE5kf9O8qaeA', '4oAvRXGJb2T2Gs5mAYL4ow', 'TIEo_UTBB_olBnXvqvmxxQ', 'jqCbCugPzL1QzunNzZoEgg', 'xUotouup6cW3TSdcYEkh5A', 'LcwjMhbcmA5QEK_xKIb4dg', 'Om3kTNUz57UQDSevN9S4OQ', 'yG2wB9ZY9s1E7Kx8CpWHKA']"
waitress,waitress,4,25,75,"['B6Cyf42B6LKE5kf9O8qaeA', 'yG2wB9ZY9s1E7Kx8CpWHKA', 'OkYP-v9atGkwyHOepgq3Pw', 'xUotouup6cW3TSdcYEkh5A']"
qualiti,qualiti,2,50,50,"['B6Cyf42B6LKE5kf9O8qaeA', 'Ep7CbV14OrJC9wVnisUvxw']"
owner,owner,2,0,100,"['B6Cyf42B6LKE5kf9O8qaeA', 'xUotouup6cW3TSdcYEkh5A']"
agre,agre,2,50,50,"['B6Cyf42B6LKE5kf9O8qaeA', 'jqCbCugPzL1QzunNzZoEgg']"
