name,word,count,positive,negative,review_ids
told,told,2,0,100,"['yG2wB9ZY9s1E7Kx8CpWHKA', 'xUotouup6cW3TSdcYEkh5A']"
working,working,2,50,50,"['B6Cyf42B6LKE5kf9O8qaeA', 't-Nwp9BfxmVl3c-k87qIVw']"
give,give,2,50,50,"['4oAvRXGJb2T2Gs5mAYL4ow', 'xUotouup6cW3TSdcYEkh5A']"
live,live,2,100,0,"['Om3kTNUz57UQDSevN9S4OQ', 'jqCbCugPzL1QzunNzZoEgg']"
excuse,excuse,2,0,100,"['yG2wB9ZY9s1E7Kx8CpWHKA', 'xUotouup6cW3TSdcYEkh5A']"
sir hobos,sir hobos,2,100,0,"['JWs1kUaZEnh3UE6FftqJAg', 'jqCbCugPzL1QzunNzZoEgg']"
sir hobo,sir hobo,2,50,50,"['JWs1kUaZEnh3UE6FftqJAg', 'xUotouup6cW3TSdcYEkh5A']"
good,good,6,83,16,"['w7-Rt5xLm8PEFc5P_C_H-g', 'OkYP-v9atGkwyHOepgq3Pw', '4oAvRXGJb2T2Gs5mAYL4ow', 't-Nwp9BfxmVl3c-k87qIVw', 'xUotouup6cW3TSdcYEkh5A', 'LcwjMhbcmA5QEK_xKIb4dg']"
food,food,8,75,25,"['roWA_MYfg4l6WX_3ilRDhg', 'OkYP-v9atGkwyHOepgq3Pw', '4oAvRXGJb2T2Gs5mAYL4ow', 'TIEo_UTBB_olBnXvqvmxxQ', 'jqCbCugPzL1QzunNzZoEgg', 'xUotouup6cW3TSdcYEkh5A', 'GNQowlOTdq-IScoe-EB2AQ', 'Om3kTNUz57UQDSevN9S4OQ']"
lunch,lunch,3,100,0,"['TIEo_UTBB_olBnXvqvmxxQ', 'lfbbDNTCkz7vB8s7TaZsmg', 'w7-Rt5xLm8PEFc5P_C_H-g']"
day,day,3,66,33,"['B6Cyf42B6LKE5kf9O8qaeA', 'lfbbDNTCkz7vB8s7TaZsmg', 'Om3kTNUz57UQDSevN9S4OQ']"
meal,meal,2,50,50,"['JWs1kUaZEnh3UE6FftqJAg', 'xUotouup6cW3TSdcYEkh5A']"
owner,owner,2,0,100,"['B6Cyf42B6LKE5kf9O8qaeA', 'xUotouup6cW3TSdcYEkh5A']"
owners,owners,2,50,50,"['B6Cyf42B6LKE5kf9O8qaeA', 't-Nwp9BfxmVl3c-k87qIVw']"
times,times,3,66,33,"['w7-Rt5xLm8PEFc5P_C_H-g', 'jqCbCugPzL1QzunNzZoEgg', 'yG2wB9ZY9s1E7Kx8CpWHKA']"
place,place,9,66,33,"['t-Nwp9BfxmVl3c-k87qIVw', 'B6Cyf42B6LKE5kf9O8qaeA', '4oAvRXGJb2T2Gs5mAYL4ow', 'TIEo_UTBB_olBnXvqvmxxQ', 'jqCbCugPzL1QzunNzZoEgg', 'xUotouup6cW3TSdcYEkh5A', 'LcwjMhbcmA5QEK_xKIb4dg', 'Om3kTNUz57UQDSevN9S4OQ', 'yG2wB9ZY9s1E7Kx8CpWHKA']"
waitress,waitress,4,25,75,"['B6Cyf42B6LKE5kf9O8qaeA', 'yG2wB9ZY9s1E7Kx8CpWHKA', 'OkYP-v9atGkwyHOepgq3Pw', 'xUotouup6cW3TSdcYEkh5A']"
thick,thick,2,100,0,"['JWs1kUaZEnh3UE6FftqJAg', 'jqCbCugPzL1QzunNzZoEgg']"
quality,quality,2,50,50,"['B6Cyf42B6LKE5kf9O8qaeA', 'Ep7CbV14OrJC9wVnisUvxw']"
guess,guess,2,50,50,"['OkYP-v9atGkwyHOepgq3Pw', 'xUotouup6cW3TSdcYEkh5A']"
service,service,3,100,0,"['LcwjMhbcmA5QEK_xKIb4dg', '4oAvRXGJb2T2Gs5mAYL4ow', 'w7-Rt5xLm8PEFc5P_C_H-g']"
breakfast,breakfast,4,75,25,"['LcwjMhbcmA5QEK_xKIb4dg', 'Ep7CbV14OrJC9wVnisUvxw', 'TIEo_UTBB_olBnXvqvmxxQ', 'yG2wB9ZY9s1E7Kx8CpWHKA']"
sat,sat,2,50,50,"['JWs1kUaZEnh3UE6FftqJAg', 'xUotouup6cW3TSdcYEkh5A']"
packed,packed,2,0,100,"['B6Cyf42B6LKE5kf9O8qaeA', 'yG2wB9ZY9s1E7Kx8CpWHKA']"
eaten,eaten,3,33,66,"['yG2wB9ZY9s1E7Kx8CpWHKA', 'OkYP-v9atGkwyHOepgq3Pw', 'xUotouup6cW3TSdcYEkh5A']"
don,don,2,100,0,"['4oAvRXGJb2T2Gs5mAYL4ow', 'lfbbDNTCkz7vB8s7TaZsmg']"
clean,clean,2,50,50,"['TIEo_UTBB_olBnXvqvmxxQ', 'xUotouup6cW3TSdcYEkh5A']"
menu,menu,3,66,33,"['Ep7CbV14OrJC9wVnisUvxw', 'jqCbCugPzL1QzunNzZoEgg', 'yG2wB9ZY9s1E7Kx8CpWHKA']"
bad,bad,2,50,50,"['OkYP-v9atGkwyHOepgq3Pw', 'xUotouup6cW3TSdcYEkh5A']"
lots,lots,2,100,0,"['lfbbDNTCkz7vB8s7TaZsmg', 'Om3kTNUz57UQDSevN9S4OQ']"
restaurant,restaurant,2,100,0,"['JWs1kUaZEnh3UE6FftqJAg', 'jqCbCugPzL1QzunNzZoEgg']"
table,table,3,0,100,"['B6Cyf42B6LKE5kf9O8qaeA', 'yG2wB9ZY9s1E7Kx8CpWHKA', 'xUotouup6cW3TSdcYEkh5A']"
velveeta,velveeta,2,0,100,"['yG2wB9ZY9s1E7Kx8CpWHKA', 'xUotouup6cW3TSdcYEkh5A']"
offered,offered,2,0,100,"['yG2wB9ZY9s1E7Kx8CpWHKA', 'xUotouup6cW3TSdcYEkh5A']"
bill,bill,2,0,100,"['yG2wB9ZY9s1E7Kx8CpWHKA', 'xUotouup6cW3TSdcYEkh5A']"
ve,ve,2,100,0,"['t-Nwp9BfxmVl3c-k87qIVw', 'w7-Rt5xLm8PEFc5P_C_H-g']"
people,people,2,50,50,"['lfbbDNTCkz7vB8s7TaZsmg', 'xUotouup6cW3TSdcYEkh5A']"
back,back,4,75,25,"['Ep7CbV14OrJC9wVnisUvxw', 'w7-Rt5xLm8PEFc5P_C_H-g', 'OkYP-v9atGkwyHOepgq3Pw', 'yG2wB9ZY9s1E7Kx8CpWHKA']"
eating,eating,2,50,50,"['Om3kTNUz57UQDSevN9S4OQ', 'yG2wB9ZY9s1E7Kx8CpWHKA']"
dinner,dinner,2,100,0,"['TIEo_UTBB_olBnXvqvmxxQ', 'lfbbDNTCkz7vB8s7TaZsmg']"
skillet,skillet,2,100,0,"['LcwjMhbcmA5QEK_xKIb4dg', 'OkYP-v9atGkwyHOepgq3Pw']"
eat,eat,2,50,50,"['B6Cyf42B6LKE5kf9O8qaeA', 'Om3kTNUz57UQDSevN9S4OQ']"
fries,fries,2,50,50,"['OkYP-v9atGkwyHOepgq3Pw', 'xUotouup6cW3TSdcYEkh5A']"
ordered,ordered,2,50,50,"['OkYP-v9atGkwyHOepgq3Pw', 'xUotouup6cW3TSdcYEkh5A']"
check,check,2,100,0,"['Om3kTNUz57UQDSevN9S4OQ', 'XGYJV7ifTvB7GIrnk0Ka7Q']"
nice,nice,2,50,50,"['w7-Rt5xLm8PEFc5P_C_H-g', 'xUotouup6cW3TSdcYEkh5A']"
building,building,2,50,50,"['Om3kTNUz57UQDSevN9S4OQ', 'xUotouup6cW3TSdcYEkh5A']"
wife,wife,2,50,50,"['4oAvRXGJb2T2Gs5mAYL4ow', 'yG2wB9ZY9s1E7Kx8CpWHKA']"
time,time,4,75,25,"['w7-Rt5xLm8PEFc5P_C_H-g', 'TIEo_UTBB_olBnXvqvmxxQ', 'jqCbCugPzL1QzunNzZoEgg', 'yG2wB9ZY9s1E7Kx8CpWHKA']"
