name,word,count,positive,negative,review_ids
madison,madison,3,100,0,"['RjXaW6CE2G79rTizG0_KCg', '69dcohwlFqsY_7kYtYBfPQ', 'LKkduzKoq4H3y1GUjvxKZg']"
selection,selection,4,75,25,"['Z9Nb0FhDjnnNt9RGuFA2ew', 'RjXaW6CE2G79rTizG0_KCg', '69dcohwlFqsY_7kYtYBfPQ', 'NCjASGvoK27hTaueoN3qAA']"
staff,staff,2,100,0,"['6EeC6JUMRhm4Z9-RcpSNKg', 'RjXaW6CE2G79rTizG0_KCg']"
sugar,sugar,2,50,50,"['Z9Nb0FhDjnnNt9RGuFA2ew', 'NCjASGvoK27hTaueoN3qAA']"
good,good,2,100,0,"['RjXaW6CE2G79rTizG0_KCg', 'TnBpB3mXsHbeIiHnxMY7jQ']"
early,early,2,100,0,"['RjXaW6CE2G79rTizG0_KCg', 'oSflkr0AOD7R-1ic9fsatw']"
bread,bread,4,75,25,"['6EeC6JUMRhm4Z9-RcpSNKg', 'Z9Nb0FhDjnnNt9RGuFA2ew', '8w7QdkwC7S4xEj4bqxeX2w', 'NCjASGvoK27hTaueoN3qAA']"
found,found,2,50,50,"['6EeC6JUMRhm4Z9-RcpSNKg', 'Z9Nb0FhDjnnNt9RGuFA2ew']"
cookies,cookies,4,75,25,"['6EeC6JUMRhm4Z9-RcpSNKg', 'RjXaW6CE2G79rTizG0_KCg', 'k7viGV3YUFUSHkYK-S_w-g', 'Z9Nb0FhDjnnNt9RGuFA2ew']"
back,back,4,50,50,"['RjXaW6CE2G79rTizG0_KCg', 'TnBpB3mXsHbeIiHnxMY7jQ', '5oLxygfaHo2dMf9dbRxc4w', 'FU3a4EY0E82YF7iux5dAQQ']"
european bakery,european bakery,2,50,50,"['RjXaW6CE2G79rTizG0_KCg', 'Z9Nb0FhDjnnNt9RGuFA2ew']"
cupcakes,cupcakes,2,100,0,"['k7viGV3YUFUSHkYK-S_w-g', '8w7QdkwC7S4xEj4bqxeX2w']"
wanted,wanted,2,100,0,"['TnBpB3mXsHbeIiHnxMY7jQ', 'oSflkr0AOD7R-1ic9fsatw']"
area,area,2,100,0,"['8w7QdkwC7S4xEj4bqxeX2w', 'TnBpB3mXsHbeIiHnxMY7jQ']"
place,place,5,60,40,"['6EeC6JUMRhm4Z9-RcpSNKg', 'LKkduzKoq4H3y1GUjvxKZg', '69dcohwlFqsY_7kYtYBfPQ', '5oLxygfaHo2dMf9dbRxc4w', 'Z9Nb0FhDjnnNt9RGuFA2ew']"
pastries,pastries,3,66,33,"['6EeC6JUMRhm4Z9-RcpSNKg', 'Z9Nb0FhDjnnNt9RGuFA2ew', 'NCjASGvoK27hTaueoN3qAA']"
morning bun,morning bun,2,50,50,"['Z9Nb0FhDjnnNt9RGuFA2ew', 'NCjASGvoK27hTaueoN3qAA']"
clasen,clasen,3,33,66,"['RjXaW6CE2G79rTizG0_KCg', 'FU3a4EY0E82YF7iux5dAQQ', 'Z9Nb0FhDjnnNt9RGuFA2ew']"
quality,quality,2,100,0,"['RjXaW6CE2G79rTizG0_KCg', 'NCjASGvoK27hTaueoN3qAA']"
places,places,2,50,50,"['TnBpB3mXsHbeIiHnxMY7jQ', 'Z9Nb0FhDjnnNt9RGuFA2ew']"
ve,ve,4,100,0,"['RjXaW6CE2G79rTizG0_KCg', '8w7QdkwC7S4xEj4bqxeX2w', '69dcohwlFqsY_7kYtYBfPQ', 'NCjASGvoK27hTaueoN3qAA']"
candies,candies,2,100,0,"['6EeC6JUMRhm4Z9-RcpSNKg', 'k7viGV3YUFUSHkYK-S_w-g']"
things,things,2,100,0,"['TnBpB3mXsHbeIiHnxMY7jQ', 'NCjASGvoK27hTaueoN3qAA']"
don,don,2,50,50,"['RjXaW6CE2G79rTizG0_KCg', 'Z9Nb0FhDjnnNt9RGuFA2ew']"
bakery,bakery,3,66,33,"['RjXaW6CE2G79rTizG0_KCg', '69dcohwlFqsY_7kYtYBfPQ', 'Z9Nb0FhDjnnNt9RGuFA2ew']"
fresh,fresh,2,100,0,"['6EeC6JUMRhm4Z9-RcpSNKg', 'RjXaW6CE2G79rTizG0_KCg']"
breads,breads,2,100,0,"['RjXaW6CE2G79rTizG0_KCg', 'k7viGV3YUFUSHkYK-S_w-g']"
