name,word,count,positive,negative,review_ids
blast,blast,2,100,0,"['JuAkTvCaiYtBSLaEWS73Nw', 'tWlj5MJSRieLjJNQg-ZD2A']"
alway,alway,2,100,0,"['CQh-bhTWVI2xqzcUjjBENA', 'kJ7Z4Y-IHOsUHo4XTfaY7A']"
wall,wall,2,100,0,"['RYUpnmY0QdBMEXSXOq4RYg', 'A-L86Ox9hl8Pu9F2uLoRSQ']"
good,good,2,100,0,"['CQh-bhTWVI2xqzcUjjBENA', 'JuAkTvCaiYtBSLaEWS73Nw']"
food,food,3,100,0,"['CQh-bhTWVI2xqzcUjjBENA', 'JuAkTvCaiYtBSLaEWS73Nw', 'A-L86Ox9hl8Pu9F2uLoRSQ']"
dart,dart,4,100,0,"['Lhlah-_CYphkDLHsz5e3Mg', 'CQh-bhTWVI2xqzcUjjBENA', 'Tj_PGLgbJdmYmY9z7IdhdQ', 'JuAkTvCaiYtBSLaEWS73Nw']"
made,made,2,100,0,"['Lhlah-_CYphkDLHsz5e3Mg', 'A-L86Ox9hl8Pu9F2uLoRSQ']"
bristl boar,bristl boar,2,100,0,"['CQh-bhTWVI2xqzcUjjBENA', 'Tj_PGLgbJdmYmY9z7IdhdQ']"
bar,bar,4,100,0,"['JuAkTvCaiYtBSLaEWS73Nw', 'gZU8ayavTYkBlGwhJKxiww', 'Tj_PGLgbJdmYmY9z7IdhdQ', 'kJ7Z4Y-IHOsUHo4XTfaY7A']"
night,night,3,100,0,"['Lhlah-_CYphkDLHsz5e3Mg', 'CQh-bhTWVI2xqzcUjjBENA', 'JuAkTvCaiYtBSLaEWS73Nw']"
enjoy,enjoy,2,100,0,"['RYUpnmY0QdBMEXSXOq4RYg', 'Tj_PGLgbJdmYmY9z7IdhdQ']"
back,back,4,100,0,"['Lhlah-_CYphkDLHsz5e3Mg', 'CQh-bhTWVI2xqzcUjjBENA', 'gZU8ayavTYkBlGwhJKxiww', 'tWlj5MJSRieLjJNQg-ZD2A']"
lot,lot,2,100,0,"['RYUpnmY0QdBMEXSXOq4RYg', 'JuAkTvCaiYtBSLaEWS73Nw']"
definit,definit,4,100,0,"['Lhlah-_CYphkDLHsz5e3Mg', 'ntDCKEwiqB-P5CruUmLoMw', 'JuAkTvCaiYtBSLaEWS73Nw', 'tWlj5MJSRieLjJNQg-ZD2A']"
reason,reason,2,100,0,"['Tj_PGLgbJdmYmY9z7IdhdQ', 'A-L86Ox9hl8Pu9F2uLoRSQ']"
place,place,6,100,0,"['RYUpnmY0QdBMEXSXOq4RYg', 'A-L86Ox9hl8Pu9F2uLoRSQ', 'Tj_PGLgbJdmYmY9z7IdhdQ', 'JuAkTvCaiYtBSLaEWS73Nw', 'ntDCKEwiqB-P5CruUmLoMw', 'CQh-bhTWVI2xqzcUjjBENA']"
head,head,2,100,0,"['gZU8ayavTYkBlGwhJKxiww', 'Tj_PGLgbJdmYmY9z7IdhdQ']"
ca,ca,2,100,0,"['CQh-bhTWVI2xqzcUjjBENA', 'gZU8ayavTYkBlGwhJKxiww']"
middleton,middleton,2,100,0,"['CQh-bhTWVI2xqzcUjjBENA', 'Tj_PGLgbJdmYmY9z7IdhdQ']"
boar,boar,5,100,0,"['JuAkTvCaiYtBSLaEWS73Nw', 'CQh-bhTWVI2xqzcUjjBENA', 'gZU8ayavTYkBlGwhJKxiww', 'Tj_PGLgbJdmYmY9z7IdhdQ', 'lP5CEkweGOUXX2b_DdHiEw']"
give,give,2,100,0,"['RYUpnmY0QdBMEXSXOq4RYg', 'Tj_PGLgbJdmYmY9z7IdhdQ']"
friend,friend,8,100,0,"['gZU8ayavTYkBlGwhJKxiww', 'lP5CEkweGOUXX2b_DdHiEw', 'tWlj5MJSRieLjJNQg-ZD2A', 'Lhlah-_CYphkDLHsz5e3Mg', 'CQh-bhTWVI2xqzcUjjBENA', 'JuAkTvCaiYtBSLaEWS73Nw', 'Tj_PGLgbJdmYmY9z7IdhdQ', 'bPjCHX_09QX5mqtMr5C1sA']"
great place,great place,2,100,0,"['CQh-bhTWVI2xqzcUjjBENA', 'lP5CEkweGOUXX2b_DdHiEw']"
ve,ve,2,100,0,"['CQh-bhTWVI2xqzcUjjBENA', 'JuAkTvCaiYtBSLaEWS73Nw']"
check,check,2,100,0,"['RYUpnmY0QdBMEXSXOq4RYg', 'ntDCKEwiqB-P5CruUmLoMw']"
fill,fill,2,100,0,"['CQh-bhTWVI2xqzcUjjBENA', 'JuAkTvCaiYtBSLaEWS73Nw']"
noth,noth,2,100,0,"['CQh-bhTWVI2xqzcUjjBENA', 'gZU8ayavTYkBlGwhJKxiww']"
pizza,pizza,2,100,0,"['CQh-bhTWVI2xqzcUjjBENA', 'JuAkTvCaiYtBSLaEWS73Nw']"
dive,dive,2,100,0,"['CQh-bhTWVI2xqzcUjjBENA', 'kJ7Z4Y-IHOsUHo4XTfaY7A']"
drink,drink,5,100,0,"['Lhlah-_CYphkDLHsz5e3Mg', 'CQh-bhTWVI2xqzcUjjBENA', 'gZU8ayavTYkBlGwhJKxiww', 'lP5CEkweGOUXX2b_DdHiEw', 'A-L86Ox9hl8Pu9F2uLoRSQ']"
pool,pool,2,100,0,"['Lhlah-_CYphkDLHsz5e3Mg', 'CQh-bhTWVI2xqzcUjjBENA']"
proud,proud,2,100,0,"['CQh-bhTWVI2xqzcUjjBENA', 'Tj_PGLgbJdmYmY9z7IdhdQ']"
time,time,3,100,0,"['CQh-bhTWVI2xqzcUjjBENA', 'RYUpnmY0QdBMEXSXOq4RYg', 'tWlj5MJSRieLjJNQg-ZD2A']"
usual,usual,2,100,0,"['CQh-bhTWVI2xqzcUjjBENA', 'kJ7Z4Y-IHOsUHo4XTfaY7A']"
