name,word,count,positive,negative,review_ids
worst,worst,2,100,0,"['CQh-bhTWVI2xqzcUjjBENA', 'bPjCHX_09QX5mqtMr5C1sA']"
blast,blast,2,100,0,"['JuAkTvCaiYtBSLaEWS73Nw', 'tWlj5MJSRieLjJNQg-ZD2A']"
drinks,drinks,4,100,0,"['Lhlah-_CYphkDLHsz5e3Mg', 'gZU8ayavTYkBlGwhJKxiww', 'Tj_PGLgbJdmYmY9z7IdhdQ', 'A-L86Ox9hl8Pu9F2uLoRSQ']"
great place,great place,3,100,0,"['7FVA2XGWpiH-CnUwN6In7g', 'CQh-bhTWVI2xqzcUjjBENA', 'lP5CEkweGOUXX2b_DdHiEw']"
give,give,2,100,0,"['RYUpnmY0QdBMEXSXOq4RYg', 'Tj_PGLgbJdmYmY9z7IdhdQ']"
bristled boar,bristled boar,2,100,0,"['CQh-bhTWVI2xqzcUjjBENA', 'Tj_PGLgbJdmYmY9z7IdhdQ']"
dive,dive,2,100,0,"['CQh-bhTWVI2xqzcUjjBENA', 'kJ7Z4Y-IHOsUHo4XTfaY7A']"
bartenders,bartenders,2,100,0,"['Lhlah-_CYphkDLHsz5e3Mg', 'CQh-bhTWVI2xqzcUjjBENA']"
years,years,2,100,0,"['CQh-bhTWVI2xqzcUjjBENA', 'lP5CEkweGOUXX2b_DdHiEw']"
good,good,3,100,0,"['CQh-bhTWVI2xqzcUjjBENA', 'JuAkTvCaiYtBSLaEWS73Nw', 'A-L86Ox9hl8Pu9F2uLoRSQ']"
food,food,4,100,0,"['CQh-bhTWVI2xqzcUjjBENA', 'Tj_PGLgbJdmYmY9z7IdhdQ', 'A-L86Ox9hl8Pu9F2uLoRSQ', 'JuAkTvCaiYtBSLaEWS73Nw']"
waffle fries,waffle fries,2,100,0,"['JuAkTvCaiYtBSLaEWS73Nw', 'tWlj5MJSRieLjJNQg-ZD2A']"
drink,drink,2,100,0,"['CQh-bhTWVI2xqzcUjjBENA', 'lP5CEkweGOUXX2b_DdHiEw']"
place,place,6,100,0,"['RYUpnmY0QdBMEXSXOq4RYg', 'A-L86Ox9hl8Pu9F2uLoRSQ', 'Tj_PGLgbJdmYmY9z7IdhdQ', 'JuAkTvCaiYtBSLaEWS73Nw', 'ntDCKEwiqB-P5CruUmLoMw', 'CQh-bhTWVI2xqzcUjjBENA']"
darts,darts,5,100,0,"['JuAkTvCaiYtBSLaEWS73Nw', 'Lhlah-_CYphkDLHsz5e3Mg', 'CQh-bhTWVI2xqzcUjjBENA', 'Tj_PGLgbJdmYmY9z7IdhdQ', 'lP5CEkweGOUXX2b_DdHiEw']"
proud,proud,2,100,0,"['CQh-bhTWVI2xqzcUjjBENA', 'Tj_PGLgbJdmYmY9z7IdhdQ']"
