name,word,count,positive,negative,review_ids
tri,tri,2,100,0,"['Yp9-duCZtwUlrP8CXJwSxg', '3Pm1t9yeuGctjRPKxNrAOA']"
list,list,2,50,50,"['DkGRye6t5Cd6PgRab2UwUg', '3Pm1t9yeuGctjRPKxNrAOA']"
charter,charter,3,66,33,"['KShIc8cUxbPCGDrJRsVvYw', 'DkGRye6t5Cd6PgRab2UwUg', '3Pm1t9yeuGctjRPKxNrAOA']"
abl,abl,2,100,0,"['Yp9-duCZtwUlrP8CXJwSxg', 'YKl9cQsRT2J3_osn_U-fJw']"
current,current,2,50,50,"['DkGRye6t5Cd6PgRab2UwUg', 'Hm4bXkXC3098K49bG2lIYg']"
told,told,3,66,33,"['Yp9-duCZtwUlrP8CXJwSxg', 'DkGRye6t5Cd6PgRab2UwUg', '3Pm1t9yeuGctjRPKxNrAOA']"
sign,sign,2,50,50,"['Yp9-duCZtwUlrP8CXJwSxg', 'DkGRye6t5Cd6PgRab2UwUg']"
instal,instal,2,100,0,"['Yp9-duCZtwUlrP8CXJwSxg', '3Pm1t9yeuGctjRPKxNrAOA']"
call,call,4,50,50,"['Yp9-duCZtwUlrP8CXJwSxg', 'DkGRye6t5Cd6PgRab2UwUg', '3Pm1t9yeuGctjRPKxNrAOA', 'KL1rNfWrlHzHzZdDsghy5A']"
compani,compani,2,50,50,"['Hdng63D9qvnT1says4LMMw', 'YKl9cQsRT2J3_osn_U-fJw']"
high,high,2,50,50,"['KShIc8cUxbPCGDrJRsVvYw', 'PHcYOcb3Hf18FUPgysF-lQ']"
order,order,2,100,0,"['Yp9-duCZtwUlrP8CXJwSxg', '3Pm1t9yeuGctjRPKxNrAOA']"
talk,talk,2,50,50,"['3Pm1t9yeuGctjRPKxNrAOA', 'Hdng63D9qvnT1says4LMMw']"
internet,internet,3,66,33,"['Yp9-duCZtwUlrP8CXJwSxg', '3Pm1t9yeuGctjRPKxNrAOA', 'KL1rNfWrlHzHzZdDsghy5A']"
provid,provid,2,50,50,"['Hm4bXkXC3098K49bG2lIYg', 'Hdng63D9qvnT1says4LMMw']"
madison,madison,2,50,50,"['KShIc8cUxbPCGDrJRsVvYw', 'DkGRye6t5Cd6PgRab2UwUg']"
find,find,2,100,0,"['Yp9-duCZtwUlrP8CXJwSxg', 'YKl9cQsRT2J3_osn_U-fJw']"
becaus,becaus,2,50,50,"['3Pm1t9yeuGctjRPKxNrAOA', 'KL1rNfWrlHzHzZdDsghy5A']"
review,review,3,66,33,"['Yp9-duCZtwUlrP8CXJwSxg', 'DkGRye6t5Cd6PgRab2UwUg', 'YKl9cQsRT2J3_osn_U-fJw']"
woe,woe,2,50,50,"['Yp9-duCZtwUlrP8CXJwSxg', 'DkGRye6t5Cd6PgRab2UwUg']"
monopoli,monopoli,3,66,33,"['DkGRye6t5Cd6PgRab2UwUg', 'Hm4bXkXC3098K49bG2lIYg', 'YKl9cQsRT2J3_osn_U-fJw']"
point,point,2,100,0,"['Yp9-duCZtwUlrP8CXJwSxg', '3Pm1t9yeuGctjRPKxNrAOA']"
cancel,cancel,2,50,50,"['DkGRye6t5Cd6PgRab2UwUg', '3Pm1t9yeuGctjRPKxNrAOA']"
servic,servic,4,75,25,"['KShIc8cUxbPCGDrJRsVvYw', 'Yp9-duCZtwUlrP8CXJwSxg', 'Hm4bXkXC3098K49bG2lIYg', 'Hdng63D9qvnT1says4LMMw']"
complain,complain,2,50,50,"['PHcYOcb3Hf18FUPgysF-lQ', '3Pm1t9yeuGctjRPKxNrAOA']"
encount,encount,2,100,0,"['Yp9-duCZtwUlrP8CXJwSxg', 'YKl9cQsRT2J3_osn_U-fJw']"
post,post,2,50,50,"['DkGRye6t5Cd6PgRab2UwUg', 'YKl9cQsRT2J3_osn_U-fJw']"
internet servic,internet servic,2,100,0,"['KShIc8cUxbPCGDrJRsVvYw', 'Yp9-duCZtwUlrP8CXJwSxg']"
transfer,transfer,2,100,0,"['Yp9-duCZtwUlrP8CXJwSxg', '3Pm1t9yeuGctjRPKxNrAOA']"
custom,custom,2,50,50,"['Yp9-duCZtwUlrP8CXJwSxg', 'DkGRye6t5Cd6PgRab2UwUg']"
avail,avail,2,50,50,"['Yp9-duCZtwUlrP8CXJwSxg', 'DkGRye6t5Cd6PgRab2UwUg']"
offer,offer,2,100,0,"['Yp9-duCZtwUlrP8CXJwSxg', '3Pm1t9yeuGctjRPKxNrAOA']"
phone,phone,4,75,25,"['KShIc8cUxbPCGDrJRsVvYw', 'PHcYOcb3Hf18FUPgysF-lQ', 'Yp9-duCZtwUlrP8CXJwSxg', '3Pm1t9yeuGctjRPKxNrAOA']"
time,time,2,100,0,"['Yp9-duCZtwUlrP8CXJwSxg', '3Pm1t9yeuGctjRPKxNrAOA']"
