name,word,count,positive,negative,review_ids
passat,passat,2,100,0,"['7snrcq5LynFLL6lThn9Tdw', '_CKiiEnqAoxQRisN6Sxhmg']"
gave,gave,3,66,33,"['_CKiiEnqAoxQRisN6Sxhmg', 'i8iwF0mLX1Nwr89l02wGTw', 'htsvjMnvFPbgf5JldDh_ew']"
purchas,purchas,3,100,0,"['7snrcq5LynFLL6lThn9Tdw', 'LWv3SHzPAhhHTo5y1JqQig', 'i8iwF0mLX1Nwr89l02wGTw']"
bought,bought,2,100,0,"['9qHt41AdpsA3FdfjA55LyQ', 'M1lAG0Ypyen5DN-meEotAw']"
day,day,2,100,0,"['_CKiiEnqAoxQRisN6Sxhmg', 'LWv3SHzPAhhHTo5y1JqQig']"
tri,tri,2,50,50,"['M1lAG0Ypyen5DN-meEotAw', 'htsvjMnvFPbgf5JldDh_ew']"
loaner car,loaner car,2,100,0,"['LWv3SHzPAhhHTo5y1JqQig', 'M1lAG0Ypyen5DN-meEotAw']"
work,work,4,100,0,"['LWv3SHzPAhhHTo5y1JqQig', 'M1lAG0Ypyen5DN-meEotAw', 'i8iwF0mLX1Nwr89l02wGTw', '9Wj9A3nuuL-7HW7zsPetog']"
year,year,3,66,33,"['7snrcq5LynFLL6lThn9Tdw', 'M1lAG0Ypyen5DN-meEotAw', 'htsvjMnvFPbgf5JldDh_ew']"
servic depart,servic depart,2,100,0,"['K4hgGmLbzXg2BFzlf6IPZQ', 'M1lAG0Ypyen5DN-meEotAw']"
decid,decid,2,100,0,"['7snrcq5LynFLL6lThn9Tdw', 'i8iwF0mLX1Nwr89l02wGTw']"
repair,repair,3,100,0,"['7snrcq5LynFLL6lThn9Tdw', 'LWv3SHzPAhhHTo5y1JqQig', 'K4hgGmLbzXg2BFzlf6IPZQ']"
schedul,schedul,2,100,0,"['i8iwF0mLX1Nwr89l02wGTw', 'qRc4aEOfr8ASksdS2vv2yA']"
walk,walk,2,100,0,"['_CKiiEnqAoxQRisN6Sxhmg', 'i8iwF0mLX1Nwr89l02wGTw']"
wife,wife,2,100,0,"['_CKiiEnqAoxQRisN6Sxhmg', 'M1lAG0Ypyen5DN-meEotAw']"
qualiti,qualiti,2,100,0,"['7snrcq5LynFLL6lThn9Tdw', 'M1lAG0Ypyen5DN-meEotAw']"
part,part,2,50,50,"['K4hgGmLbzXg2BFzlf6IPZQ', 'htsvjMnvFPbgf5JldDh_ew']"
car,car,7,100,0,"['_CKiiEnqAoxQRisN6Sxhmg', 'M1lAG0Ypyen5DN-meEotAw', 'i8iwF0mLX1Nwr89l02wGTw', '7snrcq5LynFLL6lThn9Tdw', '9Wj9A3nuuL-7HW7zsPetog', 'LWv3SHzPAhhHTo5y1JqQig', '9qHt41AdpsA3FdfjA55LyQ']"
servic,servic,4,75,25,"['7snrcq5LynFLL6lThn9Tdw', 'K4hgGmLbzXg2BFzlf6IPZQ', 'M1lAG0Ypyen5DN-meEotAw', 'htsvjMnvFPbgf5JldDh_ew']"
hope,hope,2,100,0,"['LWv3SHzPAhhHTo5y1JqQig', '9qHt41AdpsA3FdfjA55LyQ']"
ve,ve,3,100,0,"['7snrcq5LynFLL6lThn9Tdw', 'K4hgGmLbzXg2BFzlf6IPZQ', 'M1lAG0Ypyen5DN-meEotAw']"
cover,cover,2,100,0,"['LWv3SHzPAhhHTo5y1JqQig', 'K4hgGmLbzXg2BFzlf6IPZQ']"
dure,dure,2,100,0,"['i8iwF0mLX1Nwr89l02wGTw', '9Wj9A3nuuL-7HW7zsPetog']"
spent,spent,2,50,50,"['i8iwF0mLX1Nwr89l02wGTw', 'htsvjMnvFPbgf5JldDh_ew']"
vw,vw,4,75,25,"['7snrcq5LynFLL6lThn9Tdw', 'LWv3SHzPAhhHTo5y1JqQig', 'M1lAG0Ypyen5DN-meEotAw', 'htsvjMnvFPbgf5JldDh_ew']"
vw dealership,vw dealership,2,50,50,"['_CKiiEnqAoxQRisN6Sxhmg', 'htsvjMnvFPbgf5JldDh_ew']"
comfort,comfort,2,100,0,"['7snrcq5LynFLL6lThn9Tdw', 'i8iwF0mLX1Nwr89l02wGTw']"
detail,detail,2,100,0,"['i8iwF0mLX1Nwr89l02wGTw', '9Wj9A3nuuL-7HW7zsPetog']"
alway,alway,2,100,0,"['K4hgGmLbzXg2BFzlf6IPZQ', 'M1lAG0Ypyen5DN-meEotAw']"
price,price,2,50,50,"['9qHt41AdpsA3FdfjA55LyQ', 'htsvjMnvFPbgf5JldDh_ew']"
zimbrick,zimbrick,2,50,50,"['LWv3SHzPAhhHTo5y1JqQig', 'htsvjMnvFPbgf5JldDh_ew']"
brought,brought,2,100,0,"['LWv3SHzPAhhHTo5y1JqQig', 'qRc4aEOfr8ASksdS2vv2yA']"
inform,inform,2,100,0,"['_CKiiEnqAoxQRisN6Sxhmg', 'i8iwF0mLX1Nwr89l02wGTw']"
usual,usual,2,100,0,"['9qHt41AdpsA3FdfjA55LyQ', 'qRc4aEOfr8ASksdS2vv2yA']"
