name,word,count,positive,negative,review_ids
years,years,2,50,50,"['7snrcq5LynFLL6lThn9Tdw', 'htsvjMnvFPbgf5JldDh_ew']"
bringing,bringing,2,100,0,"['i8iwF0mLX1Nwr89l02wGTw', 'M1lAG0Ypyen5DN-meEotAw']"
location,location,2,50,50,"['9qHt41AdpsA3FdfjA55LyQ', 'htsvjMnvFPbgf5JldDh_ew']"
covered,covered,2,100,0,"['LWv3SHzPAhhHTo5y1JqQig', 'K4hgGmLbzXg2BFzlf6IPZQ']"
friendly,friendly,2,100,0,"['7snrcq5LynFLL6lThn9Tdw', 'i8iwF0mLX1Nwr89l02wGTw']"
gave,gave,3,66,33,"['_CKiiEnqAoxQRisN6Sxhmg', 'i8iwF0mLX1Nwr89l02wGTw', 'htsvjMnvFPbgf5JldDh_ew']"
good,good,2,100,0,"['7snrcq5LynFLL6lThn9Tdw', 'M1lAG0Ypyen5DN-meEotAw']"
bought,bought,2,100,0,"['9qHt41AdpsA3FdfjA55LyQ', 'M1lAG0Ypyen5DN-meEotAw']"
day,day,3,100,0,"['_CKiiEnqAoxQRisN6Sxhmg', 'LWv3SHzPAhhHTo5y1JqQig', 'i8iwF0mLX1Nwr89l02wGTw']"
decided,decided,2,100,0,"['7snrcq5LynFLL6lThn9Tdw', 'i8iwF0mLX1Nwr89l02wGTw']"
year,year,2,50,50,"['M1lAG0Ypyen5DN-meEotAw', 'htsvjMnvFPbgf5JldDh_ew']"
loaner car,loaner car,2,100,0,"['LWv3SHzPAhhHTo5y1JqQig', 'M1lAG0Ypyen5DN-meEotAw']"
repairs,repairs,2,100,0,"['7snrcq5LynFLL6lThn9Tdw', 'K4hgGmLbzXg2BFzlf6IPZQ']"
pleased,pleased,2,100,0,"['7snrcq5LynFLL6lThn9Tdw', 'K4hgGmLbzXg2BFzlf6IPZQ']"
dealership,dealership,2,50,50,"['i8iwF0mLX1Nwr89l02wGTw', 'htsvjMnvFPbgf5JldDh_ew']"
worked,worked,2,100,0,"['i8iwF0mLX1Nwr89l02wGTw', '9Wj9A3nuuL-7HW7zsPetog']"
schedule,schedule,2,100,0,"['i8iwF0mLX1Nwr89l02wGTw', 'qRc4aEOfr8ASksdS2vv2yA']"
cars,cars,2,100,0,"['7snrcq5LynFLL6lThn9Tdw', 'M1lAG0Ypyen5DN-meEotAw']"
taking,taking,2,100,0,"['7snrcq5LynFLL6lThn9Tdw', 'M1lAG0Ypyen5DN-meEotAw']"
asked,asked,2,50,50,"['i8iwF0mLX1Nwr89l02wGTw', 'htsvjMnvFPbgf5JldDh_ew']"
repair,repair,2,100,0,"['LWv3SHzPAhhHTo5y1JqQig', '9qHt41AdpsA3FdfjA55LyQ']"
features,features,2,100,0,"['i8iwF0mLX1Nwr89l02wGTw', '9Wj9A3nuuL-7HW7zsPetog']"
owned,owned,2,100,0,"['7snrcq5LynFLL6lThn9Tdw', '9Wj9A3nuuL-7HW7zsPetog']"
brought,brought,2,100,0,"['LWv3SHzPAhhHTo5y1JqQig', 'qRc4aEOfr8ASksdS2vv2yA']"
middleton,middleton,2,100,0,"['_CKiiEnqAoxQRisN6Sxhmg', '9qHt41AdpsA3FdfjA55LyQ']"
quality,quality,2,100,0,"['7snrcq5LynFLL6lThn9Tdw', 'M1lAG0Ypyen5DN-meEotAw']"
wife,wife,2,100,0,"['_CKiiEnqAoxQRisN6Sxhmg', 'M1lAG0Ypyen5DN-meEotAw']"
service,service,4,75,25,"['7snrcq5LynFLL6lThn9Tdw', 'K4hgGmLbzXg2BFzlf6IPZQ', 'M1lAG0Ypyen5DN-meEotAw', 'htsvjMnvFPbgf5JldDh_ew']"
needed,needed,2,100,0,"['_CKiiEnqAoxQRisN6Sxhmg', '9qHt41AdpsA3FdfjA55LyQ']"
jetta,jetta,2,50,50,"['9qHt41AdpsA3FdfjA55LyQ', 'htsvjMnvFPbgf5JldDh_ew']"
part,part,2,50,50,"['K4hgGmLbzXg2BFzlf6IPZQ', 'htsvjMnvFPbgf5JldDh_ew']"
comfortable,comfortable,2,100,0,"['7snrcq5LynFLL6lThn9Tdw', 'i8iwF0mLX1Nwr89l02wGTw']"
car,car,6,100,0,"['_CKiiEnqAoxQRisN6Sxhmg', 'i8iwF0mLX1Nwr89l02wGTw', '7snrcq5LynFLL6lThn9Tdw', '9Wj9A3nuuL-7HW7zsPetog', 'LWv3SHzPAhhHTo5y1JqQig', '9qHt41AdpsA3FdfjA55LyQ']"
work,work,4,100,0,"['LWv3SHzPAhhHTo5y1JqQig', 'M1lAG0Ypyen5DN-meEotAw', 'i8iwF0mLX1Nwr89l02wGTw', '9Wj9A3nuuL-7HW7zsPetog']"
information,information,2,100,0,"['_CKiiEnqAoxQRisN6Sxhmg', 'i8iwF0mLX1Nwr89l02wGTw']"
service department,service department,2,100,0,"['K4hgGmLbzXg2BFzlf6IPZQ', 'M1lAG0Ypyen5DN-meEotAw']"
ve,ve,3,100,0,"['7snrcq5LynFLL6lThn9Tdw', 'K4hgGmLbzXg2BFzlf6IPZQ', 'M1lAG0Ypyen5DN-meEotAw']"
vw,vw,4,75,25,"['7snrcq5LynFLL6lThn9Tdw', 'LWv3SHzPAhhHTo5y1JqQig', 'M1lAG0Ypyen5DN-meEotAw', 'htsvjMnvFPbgf5JldDh_ew']"
make,make,2,50,50,"['_CKiiEnqAoxQRisN6Sxhmg', 'htsvjMnvFPbgf5JldDh_ew']"
details,details,2,100,0,"['i8iwF0mLX1Nwr89l02wGTw', '9Wj9A3nuuL-7HW7zsPetog']"
nice,nice,2,100,0,"['7snrcq5LynFLL6lThn9Tdw', '9qHt41AdpsA3FdfjA55LyQ']"
zimbrick,zimbrick,2,50,50,"['LWv3SHzPAhhHTo5y1JqQig', 'htsvjMnvFPbgf5JldDh_ew']"
purchase,purchase,3,66,33,"['7snrcq5LynFLL6lThn9Tdw', 'i8iwF0mLX1Nwr89l02wGTw', 'htsvjMnvFPbgf5JldDh_ew']"
spent,spent,2,50,50,"['i8iwF0mLX1Nwr89l02wGTw', 'htsvjMnvFPbgf5JldDh_ew']"
model,model,2,50,50,"['9Wj9A3nuuL-7HW7zsPetog', 'htsvjMnvFPbgf5JldDh_ew']"
