name,word,count,positive,negative,review_ids
office,office,2,50,50,"['-TsVN230RCkLYKBeLsuz7A', '_ePLBPrkrf4bhyiKWEn4Qg']"
years,years,3,100,0,"['-TsVN230RCkLYKBeLsuz7A', 'onDPFgNZpMk-bT1zlForRA', 'dNocEAyUucjT371NNND41Q']"
easy,easy,2,100,0,"['15SdjuK7DmYqUAj6rjGowg', 'kMu0knsSUFW2DZXqKkGWlg']"
dr,dr,7,57,42,"['ebcN2aqmNUuYNoyvQErgnA', 'RF6UnRTtG7tWMcrO2GEoAg', '15SdjuK7DmYqUAj6rjGowg', '_ePLBPrkrf4bhyiKWEn4Qg', 'dNocEAyUucjT371NNND41Q', '-TsVN230RCkLYKBeLsuz7A', 'onDPFgNZpMk-bT1zlForRA']"
arizona,arizona,2,0,100,"['ebcN2aqmNUuYNoyvQErgnA', '_ePLBPrkrf4bhyiKWEn4Qg']"
patient,patient,2,50,50,"['RF6UnRTtG7tWMcrO2GEoAg', 'dNocEAyUucjT371NNND41Q']"
answers,answers,2,0,100,"['RF6UnRTtG7tWMcrO2GEoAg', '_ePLBPrkrf4bhyiKWEn4Qg']"
great,great,2,100,0,"['kMu0knsSUFW2DZXqKkGWlg', 'dNocEAyUucjT371NNND41Q']"
frustration,frustration,2,0,100,"['RF6UnRTtG7tWMcrO2GEoAg', '_ePLBPrkrf4bhyiKWEn4Qg']"
patients,patients,5,60,40,"['RF6UnRTtG7tWMcrO2GEoAg', '15SdjuK7DmYqUAj6rjGowg', '-TsVN230RCkLYKBeLsuz7A', '_ePLBPrkrf4bhyiKWEn4Qg', 'onDPFgNZpMk-bT1zlForRA']"
goldberg,goldberg,6,50,50,"['ebcN2aqmNUuYNoyvQErgnA', 'RF6UnRTtG7tWMcrO2GEoAg', '_ePLBPrkrf4bhyiKWEn4Qg', 'dNocEAyUucjT371NNND41Q', '-TsVN230RCkLYKBeLsuz7A', 'onDPFgNZpMk-bT1zlForRA']"
doctor,doctor,4,50,50,"['ebcN2aqmNUuYNoyvQErgnA', '-TsVN230RCkLYKBeLsuz7A', '_ePLBPrkrf4bhyiKWEn4Qg', 'kMu0knsSUFW2DZXqKkGWlg']"
nyc,nyc,2,0,100,"['RF6UnRTtG7tWMcrO2GEoAg', 'ebcN2aqmNUuYNoyvQErgnA']"
moving,moving,2,0,100,"['ebcN2aqmNUuYNoyvQErgnA', '_ePLBPrkrf4bhyiKWEn4Qg']"
don,don,2,0,100,"['RF6UnRTtG7tWMcrO2GEoAg', '_ePLBPrkrf4bhyiKWEn4Qg']"
time,time,3,33,66,"['RF6UnRTtG7tWMcrO2GEoAg', '15SdjuK7DmYqUAj6rjGowg', '_ePLBPrkrf4bhyiKWEn4Qg']"
